id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44685213,Superbe 3 1/2 au coeur de la Petite Italie!,14271103,Andrea,,Rosemont-La Petite-Patrie,45.53015,-73.61076,Entire home/apt,76,2,10,2021-08-08,0.81,4,4,4,
44695945,"3story Townhouse near BellCentre,in quiet quartier",336827278,Cristin,,Ville-Marie,45.49144,-73.5683,Entire home/apt,200,2,2,2020-09-07,0.15,1,0,0,
44698747,Private TownHouse/Jaccuzzi Pool table &2 terrasses,361968592,Benjamin,,Ville-Marie,45.51603,-73.56173,Entire home/apt,579,2,61,2021-10-08,6.54,6,213,58,
44704325,Beautiful apartment with balcony - Near downtown,292507076,Luckey,,Le Sud-Ouest,45.487,-73.5687,Entire home/apt,195,2,6,2021-09-12,0.44,45,28,4,
44708652,Condo lumineux avec terrasse,115409349,Francois,,Villeray-Saint-Michel-Parc-Extension,45.56418,-73.59235,Entire home/apt,125,32,5,2021-06-30,0.40,1,74,4,
44761945,#Gorgeous 2 Bedroom 5mins from DTOWN AAA LOCATION,361968592,Benjamin,,Le Plateau-Mont-Royal,45.51849,-73.58979,Entire home/apt,148,2,49,2021-09-06,3.62,6,158,42,
44765363,Stylish*brand-new*2 bdrs queen*gym 24/7,341788646,Buzz,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46556,-73.61547,Entire home/apt,109,1,35,2021-09-01,2.59,11,344,33,
44791193,BIG 4 1/2 D-D-O,20049453,Hubert,,Dollard-des-Ormeaux,45.47624,-73.83907,Entire home/apt,87,32,2,2021-06-25,0.20,62,57,2,
44796882,Chambre confortable/no window/LGBT friendly,20085098,Jhon,,Le Plateau-Mont-Royal,45.52371,-73.5832,Private room,36,1,12,2021-10-04,0.86,1,231,9,
44836888,"Métro Langelier à 7min à pieds, tout équipé !",26678113,Alissa,,Mercier-Hochelaga-Maisonneuve,45.58059,-73.53689,Entire home/apt,45,7,15,2021-08-22,1.13,1,10,13,
44846631,Beautiful modern studio fully furnished & equipped,83077910,Cesar,,Ville-Marie,45.520187,-73.563194,Entire home/apt,58,92,4,2021-06-06,0.61,2,305,4,
44890465,*COZY/QUIET 2 BDR Spacious located in the heart,361968592,Benjamin,,Le Plateau-Mont-Royal,45.51684,-73.58941,Entire home/apt,143,2,38,2021-09-07,4.69,6,283,38,
44928005,Belle chambre pour un séjour confortable,110630272,Johnson / Espace Tremplin,,Montréal-Nord,45.58995,-73.62695,Private room,30,7,2,2020-09-04,0.16,6,0,0,
44955313,Bright Penthouse with indoor parking Old Port 405,387422,Simplissimmo,,Ville-Marie,45.51224,-73.5506,Entire home/apt,123,1,0,,,38,196,0,
44956892,2 bedroom unit with indoor parking Griffintown 943,387422,Simplissimmo,,Le Sud-Ouest,45.49416,-73.5569,Entire home/apt,130,1,0,,,38,158,0,
44957626,Superb 1 bedroom condo in Griffintown - 947,387422,Simplissimmo,,Le Sud-Ouest,45.4945,-73.55997,Entire home/apt,74,1,0,,,38,346,0,
44958283,Beautiful 2 bedroom apartment in Old Montreal 976,387422,Simplissimmo,,Ville-Marie,45.49789,-73.55521,Entire home/apt,148,1,0,,,38,347,0,
44962476,"Apartment in heart of downtown, minute from metro",130738540,Sanaz,,Ville-Marie,45.49185,-73.58035,Entire home/apt,55,30,0,,,1,286,0,
44966071,Modern loft style with ROTATING WALL hidden room,363006581,Simon,,Villeray-Saint-Michel-Parc-Extension,45.55509,-73.60122,Entire home/apt,107,2,20,2021-09-14,1.51,1,310,16,
44969564,Beautiful large apartment close to metro stations,270509834,Poan,,Ahuntsic-Cartierville,45.55018,-73.64676,Entire home/apt,250,100,1,2020-12-28,0.10,1,40,1,
44969788,"Charming apartment in NDG (MUHC, Vendome metro)",34137925,Ariane & Andrés,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47082,-73.61354,Entire home/apt,47,32,1,2021-03-31,0.15,1,122,1,
44975544,Surperb cozy and well situated apartment,87264746,Ibrahim,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50427,-73.62739,Entire home/apt,28,4,0,,,1,0,0,
44996266,Spacious 2 bed unit close to Lachine Canal 1021,387422,Simplissimmo,,Le Sud-Ouest,45.48402,-73.56291,Entire home/apt,151,1,0,,,38,307,0,
44997842,Furnished 1 bedroom apartment Icône Montreal 1108,387422,Simplissimmo,,Ville-Marie,45.49769,-73.57217,Entire home/apt,90,1,0,,,38,286,0,
44998002,Bright 1 bedroom in new Tour des Canadiens2 - 1109,387422,Simplissimmo,,Ville-Marie,45.49609,-73.56672,Entire home/apt,99,365,0,,,38,89,0,
45020630,Lovely 1 bdr in St Henri,15342136,Petra,,Le Sud-Ouest,45.48359,-73.58293,Entire home/apt,99,1,30,2021-09-30,30,1,35,23,
45022089,Snuggle up in this southeast asia cozy home,314256859,Pascale,,Le Plateau-Mont-Royal,45.51974,-73.5754,Entire home/apt,214,31,31,2021-08-29,8.23,4,51,29,
45038255,cote-saint-paul lovely home,265767054,Shi,,Le Sud-Ouest,45.45628,-73.58786,Private room,27,31,0,,,4,0,0,
45054499,Montreal master bedroom,75273677,René,,Saint-Léonard,45.58512,-73.57486,Private room,37,7,5,2021-09-30,0.40,3,26,4,306267
45055834,Grand appartement à Montréal,6737459,Marie,,Verdun,45.45898,-73.57705,Entire home/apt,33,31,0,,,1,24,0,
45067605,MiltonPlace Open Concept+Natural Sunlight+Backyard,18345225,Kayhan,,Le Plateau-Mont-Royal,45.51278,-73.57185,Entire home/apt,157,1,16,2021-09-19,1.23,4,82,13,
45067693,Appartement spacieux tout confort dans Rosemont,98613060,Nicolas,,Rosemont-La Petite-Patrie,45.55044,-73.57782,Entire home/apt,100,2,12,2021-01-18,1.13,1,0,12,
45073838,1 minute to Metro Station Comfy apartment,243746900,Jifang(Lucy),,Le Sud-Ouest,45.45354,-73.59348,Entire home/apt,107,2,13,2021-09-27,0.94,42,84,11,
45076268,Chambre privée dans le Saint-Laurent,184141194,James William,,Saint-Laurent,45.518,-73.68723,Private room,50,1,0,,,1,179,0,
45079604,"Appart 150m2 - 3Bdr, bureau, jardin, patio, garage",323073873,Gregory,,Ville-Marie,45.52411,-73.56099,Entire home/apt,210,30,0,,,2,42,0,
45079930,Beautiful vacation,265767054,Shi,,Le Sud-Ouest,45.45655,-73.58942,Private room,29,31,0,,,4,0,0,
45080078,The house of grace 6 (Metro &Free parking lot),189828323,Frank And Grace,,Le Sud-Ouest,45.44617,-73.60121,Entire home/apt,78,1,44,2021-10-08,3.36,5,147,37,
45080330,"The house of Peace 9
(Metro &Free parking lot)",189828323,Frank And Grace,,Le Sud-Ouest,45.44642,-73.6021,Entire home/apt,96,1,52,2021-10-09,4.44,5,135,45,
45080434,Bustling city,265767054,Shi,,Le Sud-Ouest,45.48557,-73.57492,Private room,28,31,0,,,4,0,0,
45080601,happy family,265767054,Shi,,Le Sud-Ouest,45.48593,-73.57738,Entire home/apt,93,31,0,,,4,0,0,
45089639,Unique loft in central Montreal,52042190,Nima,,Le Sud-Ouest,45.47763,-73.58571,Entire home/apt,300,7,23,2021-05-06,5.31,1,259,16,
45090626,"Clean, completely renovated large apt near DT Mtl",57185344,Patrick,,Le Sud-Ouest,45.48367,-73.5827,Entire home/apt,150,110,8,2021-01-16,3.69,14,127,6,
45098258,Wonderful 2BR - Plateau - Downtown!,9818417,Andre,,Le Plateau-Mont-Royal,45.51296,-73.57092,Entire home/apt,89,30,0,,,29,344,0,
45102627,nice room on the ground floor Plateau Montroyal,6279728,Ann,,Le Plateau-Mont-Royal,45.53118,-73.58896,Private room,20,30,1,2020-11-30,0.09,8,0,1,
45103548,Room 103 | Maison Sainte-Thérèse,113699303,Maisons & Co,,Ville-Marie,45.50617,-73.55247,Private room,199,2,14,2021-09-10,1.30,25,302,14,
45103571,Room 101 | Maison Sainte-Thérèse,113699303,Maisons & Co,,Ville-Marie,45.50735,-73.55463,Entire home/apt,209,2,15,2021-10-11,1.29,25,279,15,
45104973,Condos entier - Downtown Montréal,323610931,Jasmine,,Ville-Marie,45.49643,-73.56936,Entire home/apt,600,3,1,2020-09-13,0.08,1,364,0,
45112781,Amazing view in Historic Building in Old port,203048480,Jessica,,Ville-Marie,45.50584,-73.55229,Private room,98,1,48,2020-10-16,3.50,7,226,38,
45113017,5 Bedrooms Condo in the Old Port of Montreal,203048480,Jessica,,Ville-Marie,45.50785,-73.55305,Entire home/apt,642,1,34,2021-08-22,2.76,7,55,30,
45113474,Breath taking View In Old Port Montreal,203048480,Jessica,,Ville-Marie,45.50674,-73.55137,Private room,98,1,24,2020-08-31,2.06,7,226,18,
45113612,Outstanding View Near the Water  Old Montreal,203048480,Jessica,,Ville-Marie,45.50678,-73.55346,Private room,98,1,52,2021-07-02,3.83,7,226,38,
45113672,Beautiful View in The heart Of Old Port Montreal,203048480,Jessica,,Ville-Marie,45.50629,-73.55351,Private room,98,1,51,2020-12-01,3.90,7,226,35,
45116095,Chambre privée en plein coeur de MontRoyal/Plateau,37164705,Charline,,Le Plateau-Mont-Royal,45.53068,-73.57902,Private room,35,7,0,,,1,52,0,
45116960,Cosy 1 bedroom app (basement),22849536,Cristo,,Mont-Royal,45.50544,-73.65152,Entire home/apt,100,1,0,,,1,166,0,
45139619,Dtown Chic -Monthly Rental,111294431,Magdalina,,Ville-Marie,45.49473,-73.56751,Entire home/apt,100,32,0,,,37,52,0,
45140569,Short-term-flatmate-w/room-in-VintageOldport-condo,4075341,Kren At ConvergeNet Quintess,,Ville-Marie,45.5031,-73.55744,Private room,150,90,0,,,2,88,0,
45140633,Spacious & bright room Rosemont Petite-Patrie,49258343,Xavier Neszvecsko,,Rosemont-La Petite-Patrie,45.5402,-73.6063,Private room,44,32,6,2021-10-03,0.61,3,148,5,
45141848,Old Port Vintage Condo-Apartment Great Views,4075341,Kren At ConvergeNet Quintess,,Ville-Marie,45.50384,-73.55566,Entire home/apt,250,90,0,,,2,362,0,
